
ЧАСТОТА БУКВ У ТЕКСТІ З ПРОБІЛОМ:
(' ', 0.1620024391744444)
('о', 0.09067287196505538)
('е', 0.0777857796853682)
('а', 0.06617255892560518)
('н', 0.05556359767373689)
('и', 0.051352945646942164)
('т', 0.051351136170351364)
('л', 0.04417475201123323)
('с', 0.04235079960770548)
('р', 0.04019390351147027)
('в', 0.03387883020957358)
('к', 0.02712948252588456)
('д', 0.02584837309959721)
('у', 0.025461145109165723)
('м', 0.02506486973578023)
('п', 0.022558744657520367)
('б', 0.01770934739417276)
('ь', 0.017028984196031455)
('г', 0.016612804580147147)
('ы', 0.016055485790180332)
('я', 0.015711685237928076)
('з', 0.015452930085443484)
('ч', 0.011859309576112014)
('ж', 0.009146904166500798)
('й', 0.008877292154471398)
('ш', 0.007585325868639237)
('х', 0.006591923220289299)
('э', 0.00395551582749174)
('ю', 0.003917516819084911)
('щ', 0.0031611556041299493)
('ц', 0.0030091595705026364)
('ф', 0.0017624301994405098)

ЧАСТОТА БІГРАМ БЕЗ ПЕРЕТИНУ У ТЕКСТІ З ПРОБІЛОМ:
('о ', 0.02008880911107653)
('е ', 0.01852904028980577)
('а ', 0.01684622706036052)
(' н', 0.01651328336765307)
('и ', 0.016480712789018647)
(' п', 0.015112748486372831)
(' в', 0.01484132699775263)
(' с', 0.014671236198217304)
('то', 0.012503483242437292)
(' о', 0.012391295693807609)
('ь ', 0.011240468582057954)
('на', 0.010715720370725565)
('не', 0.010466012601194978)
('по', 0.009532322680341484)
('я ', 0.009449086757164623)
('ер', 0.00923194956626846)
('ст', 0.009137856783546791)
('но', 0.009123380970820381)
('ал', 0.009076334579459545)
('л ', 0.009040145047643519)
(' и', 0.008725296120844085)
(' к', 0.008211404769056503)
('ли', 0.007961696999525918)
('ре', 0.007954459093162712)
('он', 0.007755416668174564)
(' т', 0.007621515400455264)
('ра', 0.0072560011291133925)
('ко', 0.007172765205936531)
('от', 0.0069194384832243425)
(' д', 0.006839821513229084)
(' б', 0.006803631981413057)
('м ', 0.006752966636870619)
('ро', 0.006734871870962606)
('т ', 0.0066516359477857435)
('ка', 0.006637160135059333)
('ни', 0.0065937326968801)
('за', 0.006467069335524006)
('го', 0.0064272608505263765)
('у ', 0.006344024927349515)
('ет', 0.006322311208259899)
('й ', 0.006126887736453353)
('ел', 0.006079841345092519)
('ос', 0.006032794953731683)
('ен', 0.00596041589009963)
(' м', 0.005927845311465205)
('ол', 0.005833752528743535)
('ло', 0.005790325090564303)
('пр', 0.0055369983678521155)
('та', 0.005504427789217691)
('во', 0.00548995197649128)
('бе', 0.0054863330233096775)
('ов', 0.00539585919376961)
